Age,Gender,Annual Income,Number of Dependents,Education Level,Health Score,Location,Policy Type,Active Policy days,Previous Claims,Credit Score,Insurance Duration,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
21.0,Female,79975.0,2.0,PhD,48.83635065945213,Urban,Premium,1536,0.0,387.0,8.0,Average,No,Rarely,Apartment,755.0
30.0,Male,35244.0,1.0,Bachelor's,36.49011156092392,Urban,Premium,1018,0.0,502.0,3.0,Poor,Yes,Rarely,Condo,1017.0
28.0,Female,3868.0,3.0,Bachelor's,20.96576269042018,Urban,Basic,1054,0.0,508.0,4.0,Good,No,Weekly,Apartment,822.0
29.0,Male,72466.0,,Bachelor's,,Suburban,Premium,1825,2.0,,8.0,Poor,No,Daily,House,679.0
26.0,Female,15845.0,3.0,Master's,24.353805324323663,Suburban,Basic,434,0.0,744.0,5.0,Good,Yes,Weekly,Condo,656.0
22.0,Male,53512.0,3.0,Master's,40.94200536194832,Urban,Comprehensive,981,0.0,506.0,5.0,Average,No,Daily,Apartment,225.0
50.0,Male,44302.0,0.0,Bachelor's,38.96499815384142,Urban,Premium,1794,0.0,472.0,1.0,Poor,Yes,Weekly,Condo,1753.0
30.0,Male,18424.0,2.0,PhD,38.54340780276378,Suburban,Premium,1533,0.0,705.0,1.0,Good,Yes,Monthly,Condo,816.0
20.0,Male,12243.0,,PhD,20.637168277400107,Urban,Premium,1425,0.0,701.0,7.0,Poor,No,Daily,Condo,629.0
41.0,Male,50734.0,4.0,Bachelor's,,Suburban,Comprehensive,415,2.0,810.0,5.0,Poor,Yes,Weekly,Condo,434.0
24.0,Female,46694.0,0.0,Bachelor's,9.564398164087596,Suburban,Premium,437,0.0,383.0,2.0,Average,Yes,Daily,Apartment,1068.0
26.0,Female,13923.0,1.0,Bachelor's,3.680915720374818,Rural,Comprehensive,1525,1.0,532.0,4.0,Good,Yes,Rarely,Apartment,3487.0
61.0,Female,4095.0,1.0,Master's,20.05225647314048,Urban,Premium,825,2.0,482.0,2.0,Poor,No,Rarely,Condo,708.0
22.0,Male,18791.0,4.0,PhD,26.84062671167758,Rural,Premium,709,1.0,433.0,3.0,Average,No,Rarely,House,549.0
20.0,Male,72292.0,2.0,High School,52.88871736633388,Rural,Basic,318,0.0,765.0,8.0,Average,No,Daily,House,2601.0
37.0,Male,13142.0,0.0,High School,34.07717377166835,Rural,Comprehensive,1414,1.0,428.0,4.0,Good,Yes,Weekly,Apartment,755.0
45.0,Male,61145.0,2.0,PhD,7.543191414463007,Urban,Basic,1237,0.0,460.0,3.0,Poor,No,Weekly,House,444.0
55.0,Male,2490.0,0.0,High School,35.47203107122153,Rural,Premium,895,0.0,762.0,3.0,,Yes,Rarely,House,1122.0
27.0,Female,,2.0,Master's,13.341081449970464,Urban,Premium,183,3.0,597.0,5.0,Good,No,Rarely,Condo,300.0
62.0,Female,92714.0,1.0,Master's,23.07609517846932,Rural,Comprehensive,300,3.0,753.0,9.0,Average,Yes,Monthly,Condo,100.0
25.0,Male,15776.0,,PhD,5.868776286520723,Suburban,Comprehensive,1110,1.0,684.0,8.0,Average,Yes,Monthly,House,652.0
28.0,Female,39769.0,4.0,Master's,13.393544339875785,Urban,Basic,499,1.0,696.0,2.0,Poor,Yes,Monthly,Apartment,554.0
63.0,Female,48534.0,4.0,PhD,45.78332592717999,Rural,Basic,1587,2.0,534.0,5.0,Poor,Yes,Monthly,Apartment,24.0
51.0,Male,86597.0,4.0,High School,9.567766171898391,Urban,Premium,1928,1.0,,8.0,Good,No,Rarely,Apartment,2616.0
51.0,Male,27189.0,0.0,Bachelor's,20.14073424657505,Urban,Comprehensive,1763,0.0,714.0,1.0,Poor,Yes,Weekly,Condo,569.0
48.0,Male,6051.0,4.0,Bachelor's,35.26984910365477,Suburban,Premium,1390,0.0,705.0,5.0,Average,Yes,Daily,Apartment,2327.0
53.0,Male,63396.0,0.0,High School,31.94424954115768,Urban,Basic,269,0.0,439.0,5.0,Average,No,Daily,Condo,676.0
40.0,Male,24894.0,,Bachelor's,25.45876421661313,Suburban,Comprehensive,1790,1.0,,3.0,Good,No,Rarely,House,1203.0
60.0,Male,58557.0,0.0,Bachelor's,10.973404207962671,Urban,Basic,886,2.0,761.0,8.0,Poor,No,Weekly,House,2056.0
47.0,Male,142463.0,0.0,Bachelor's,7.079078266148404,Suburban,Basic,598,0.0,774.0,7.0,Average,No,Weekly,House,300.0
62.0,Female,28265.0,2.0,PhD,42.33207797426235,Suburban,Premium,1185,0.0,,4.0,Average,No,Daily,Apartment,3221.0
51.0,Female,1164.0,3.0,Master's,34.15385490600292,Rural,Premium,1714,0.0,538.0,5.0,Good,Yes,Rarely,House,2164.0
43.0,Male,29460.0,1.0,PhD,39.52708252630664,Rural,Basic,1029,0.0,677.0,2.0,Average,Yes,Weekly,Condo,1442.0
60.0,Male,844.0,1.0,PhD,,Rural,Comprehensive,1035,0.0,765.0,1.0,Poor,Yes,Monthly,Apartment,2535.0
18.0,Male,,0.0,Bachelor's,29.17904907908988,Urban,Basic,1458,1.0,626.0,8.0,Poor,No,Daily,Condo,271.0
55.0,Male,718.0,0.0,High School,36.91886003276128,Urban,Comprehensive,1642,0.0,485.0,3.0,Average,Yes,Daily,House,3872.0
54.0,Female,14087.0,3.0,Master's,28.75203892362192,Urban,Basic,1082,0.0,691.0,6.0,Poor,Yes,Monthly,Apartment,2058.0
29.0,Male,2364.0,1.0,Master's,5.791074505375127,Rural,Basic,475,4.0,378.0,4.0,Poor,Yes,Daily,House,773.0
30.0,Female,35303.0,3.0,Master's,36.63742367620805,Urban,Premium,375,1.0,,2.0,Poor,Yes,Monthly,Condo,1448.0
25.0,Male,42267.0,0.0,Bachelor's,25.8196404604362,Suburban,Basic,1368,0.0,613.0,1.0,Poor,No,Weekly,Apartment,532.0
41.0,Male,15556.0,2.0,Master's,22.14134854487787,Rural,Comprehensive,1580,1.0,,8.0,,No,Monthly,Apartment,1658.0
34.0,Male,18704.0,2.0,PhD,35.41771737084973,Rural,Basic,1688,1.0,704.0,6.0,Good,Yes,Daily,Condo,1332.0
56.0,Male,39766.0,2.0,PhD,20.89025997757287,Suburban,Premium,277,0.0,682.0,8.0,Poor,No,Monthly,House,821.0
29.0,Male,18644.0,0.0,High School,45.56732050942842,Suburban,Premium,785,0.0,553.0,2.0,Poor,No,Weekly,Apartment,1658.0
18.0,Male,85374.0,4.0,Master's,20.08866127217137,Rural,Premium,382,2.0,,4.0,Good,Yes,Rarely,Condo,2092.0
